,EDU_NAME,PASSED_NUMBER_FULL,PASSER_UNDER_160,PASSES_OVER_220,lat,lon
212,Государственное бюджетное образовательное учреждение города Москвы гимназия № 1534,183,156,96,55.685127,37.574267
213,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2053»,43,18,2,55.705788,37.919024
214,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1394 «Воспитательно-образовательный центр «На набережной»,73,29,12,55.648582,37.7321389
215,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением иностранного языка № 1293»,125,107,58,55.7429817,37.4105797
216,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением иностранных языков № 1242»,72,30,15,55.5835468,37.6431871
217,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 856»,39,19,7,55.636617,37.608145
218,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа лицей № 1420»,216,79,32,55.700926,37.814983
219,Государственное бюджетное общеобразовательное учреждение города Москвы «Центр образования «Технологии обучения»,46,13,3,55.8001265,37.5416784
220,Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1985,101,47,19,55.8870473,37.3920644
221,Государственное бюджетное образовательное учреждение города Москвы гимназия № 1925,26,17,11,55.7355194,37.8526882
222,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 709»,78,52,18,55.935269,37.552569
223,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 374»,30,4,1,55.8164032,37.6970933
224,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2030»,92,84,53,55.7600555,37.5557753
226,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2123 имени Мигеля Эрнандеса»,186,74,33,55.756786,37.590335
227,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2104 на Таганке»,159,133,72,55.743587,37.646184
228,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1554»,185,135,56,55.86557,37.619516
